AC_No,AC_Name,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Vote_Share_%,Source_URL,Rank_In_Constituency
128,Raghopur,ANIL SINGH,Nationalist Congress Party,982,1,983,0.41,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04128.htm,8
128,Raghopur,SHILAM JHA,Akhil Hind Forward Bloc (Krantikari),794,0,794,0.33,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04128.htm,9
128,Raghopur,PREM KUMAR,Janshakti Janta Dal,706,3,709,0.3,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04128.htm,10
128,Raghopur,UMESH MAHATO,Rashtriya Jansambhavna Party,451,3,454,0.19,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04128.htm,11
128,Raghopur,MOHAMAD RIZWANUL AZAM,Janta Dal Rashtravadi,403,5,408,0.17,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04128.htm,12
128,Raghopur,RAM BABU RAY,Jantantra Awaj Party,359,1,360,0.15,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04128.htm,13
128,Raghopur,KAVITA KUMARI,Bihar Justice Party,196,3,199,0.08,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04128.htm,14
129,Mahnar,UMESH SINGH KUSHWAHA,Janata Dal (United),97482,568,98050,48.59,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04129.htm,1
129,Mahnar,RAVINDRA KUMAR SINGH,Rashtriya Janata Dal,59007,485,59492,29.48,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04129.htm,2
129,Mahnar,SANJAY KUMAR RAY,Independent,14038,115,14153,7.01,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04129.htm,3
129,Mahnar,VIPIN KUMAR,Independent,7598,59,7657,3.79,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04129.htm,4
129,Mahnar,DR. RAJESH KUMAR,Jan Suraaj Party,4446,66,4512,2.24,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04129.htm,5
129,Mahnar,ACHUTANAND,Rashtriya Lok Janshakti Party,2523,31,2554,1.27,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04129.htm,6
129,Mahnar,SUBODH SINGH,Independent,2029,0,2029,1.01,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04129.htm,7
129,Mahnar,RAMESH SAHNI,Independent,1970,4,1974,0.98,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04129.htm,8
129,Mahnar,MITHILESH KUMAR SINGH,Independent,1826,0,1826,0.9,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04129.htm,9
129,Mahnar,SHIVESHWAR KUMAR,Independent,1726,3,1729,0.86,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04129.htm,10
129,Mahnar,OM PRABHA KUMARI,Bahujan Samaj Party,1680,13,1693,0.84,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04129.htm,11
129,Mahnar,VIPIN KUMAR,Aam Aadmi Party,1398,9,1407,0.7,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04129.htm,12
129,Mahnar,NOTA,None of the Above,1312,9,1321,0.65,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04129.htm,13
129,Mahnar,JAI SINGH,Janshakti Janta Dal,847,2,849,0.42,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04129.htm,14
129,Mahnar,CHANDAN KUMAR,Independent,738,5,743,0.37,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04129.htm,15
129,Mahnar,MITHILESH KUMAR SINGH SATHI,Sathi Aur Aapka Faisala Party,611,0,611,0.3,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04129.htm,16
129,Mahnar,RAVIRANJAN KUMAR SINGH,Vikas Insaf Party,432,1,433,0.21,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04129.htm,17
129,Mahnar,KIRAN YADAV,Independent,403,3,406,0.2,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04129.htm,18
129,Mahnar,YOGANAND KUMAR SINGH KUSVAHA,Ambedkar National Congress,347,1,348,0.17,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04129.htm,19
130,Patepur,LAKHENDRA KUMAR RAUSHAN,Bharatiya Janata Party,107977,379,108356,51.71,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04130.htm,1
130,Patepur,PREMA CHAUDHARY,Rashtriya Janata Dal,85475,501,85976,41.03,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04130.htm,2
130,Patepur,DASAI CHAUDHARY,Jan Suraaj Party,4138,43,4181,2,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04130.htm,3
130,Patepur,SANJAY PASWAN,Independent,3423,0,3423,1.63,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04130.htm,4
130,Patepur,NOTA,None of the Above,2592,6,2598,1.24,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04130.htm,5
130,Patepur,MIRA DEVI,Bahujan Samaj Party,1591,5,1596,0.76,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04130.htm,6
130,Patepur,SUNAINA DEVI,Independent,1260,0,1260,0.6,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04130.htm,7
130,Patepur,FAGUNI MANJHI,Independent,845,1,846,0.4,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04130.htm,8
130,Patepur,RINA KUMARI,Janshakti Janta Dal,557,2,559,0.27,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04130.htm,9
130,Patepur,ANIL PASWAN,Independent,380,0,380,0.18,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04130.htm,10
130,Patepur,AWANISH,Independent,365,0,365,0.17,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04130.htm,11
131,Kalyanpur,MAHESHWAR HAZARI,Janata Dal (United),117964,198,118162,49.3,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04131.htm,1
131,Kalyanpur,RANJEET KUMAR RAM,Communist Party of India (Marxist-Leninist) (Liberation),79389,187,79576,33.2,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04131.htm,2
131,Kalyanpur,RAM BALAK PASWAN,Jan Suraaj Party,16510,64,16574,6.92,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04131.htm,3
131,Kalyanpur,NOTA,None of the Above,8624,10,8634,3.6,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04131.htm,4
131,Kalyanpur,RAJEEV KUMAR,Independent,5630,1,5631,2.35,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04131.htm,5
131,Kalyanpur,RATNESHWAR RAM,Bahujan Samaj Party,3801,4,3805,1.59,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04131.htm,6
131,Kalyanpur,MANTESH KUMAR,Independent,3191,2,3193,1.33,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04131.htm,7
131,Kalyanpur,MADHU KRISHNAJI RAM,Socialist Unity Centre Of India (COMMUNIST),2495,2,2497,1.04,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04131.htm,8
131,Kalyanpur,OM PRAKASH,Independent,1600,3,1603,0.67,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04131.htm,9
132,Warisnagar,MANJARIK MRINAL,Janata Dal (United),108751,217,108968,46.41,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04132.htm,1
132,Warisnagar,PHOOLBABU SINGH,Communist Party of India (Marxist-Leninist) (Liberation),74329,203,74532,31.75,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04132.htm,2
132,Warisnagar,SATYANARAYAN SAHANI,Jan Suraaj Party,13005,76,13081,5.57,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04132.htm,3
132,Warisnagar,ABHINAV RAJ,Independent,7248,7,7255,3.09,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04132.htm,4
132,Warisnagar,NOTA,None of the Above,5602,3,5605,2.39,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04132.htm,5
132,Warisnagar,ZAHID IQBAL,Independent,5428,2,5430,2.31,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04132.htm,6
132,Warisnagar,GOVIND KUMAR,Rashtriya Lok Janshakti Party,4157,21,4178,1.78,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04132.htm,7
132,Warisnagar,UPENDRA PRASAD ROY,Aam Aadmi Party,3589,2,3591,1.53,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04132.htm,8
132,Warisnagar,CHANDAN KUMAR,Hindustani Awam Manch (United),3125,5,3130,1.33,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04132.htm,9
132,Warisnagar,MAHESH PRASAD,Independent,2708,2,2710,1.15,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04132.htm,10
132,Warisnagar,DILIP ROY,Independent,2567,1,2568,1.09,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04132.htm,11
132,Warisnagar,KANCHAN KUMARI BHARTI,Bahujan Samaj Party,1546,1,1547,0.66,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04132.htm,12
132,Warisnagar,SHAKTI KUMAR SAHNI,Right to Recall Party,1297,2,1299,0.55,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04132.htm,13
132,Warisnagar,RAM KUMAR,Rashtriya Jansambhavna Party,889,0,889,0.38,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04132.htm,14
133,Samastipur,ASHWAMEDH DEVI,Janata Dal (United),95476,252,95728,48.14,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04133.htm,1
133,Samastipur,AKHTARUL ISLAM SHAHIN,Rashtriya Janata Dal,81530,323,81853,41.16,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04133.htm,2
133,Samastipur,CHETNA JHAMB,Independent,6172,21,6193,3.11,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04133.htm,3
133,Samastipur,MANOJ KUMAR SINGH,Jan Suraaj Party,4911,27,4938,2.48,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04133.htm,4
133,Samastipur,NOTA,None of the Above,4520,7,4527,2.28,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04133.htm,5
133,Samastipur,RAJAN KUMAR,Aam Aadmi Party,1713,2,1715,0.86,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04133.htm,6
133,Samastipur,SHIVAM KUMAR RAJ,The Plurals Party,939,0,939,0.47,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04133.htm,7
133,Samastipur,NITESH KUMAR SINHA,Bharatiya Sampuran Krantikari Party,683,1,684,0.34,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04133.htm,8
133,Samastipur,VINAY KUMAR RAM,Bahujan Samaj Party,589,2,591,0.3,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04133.htm,9
133,Samastipur,RAKESH KUMAR,Socialist Unity Centre Of India (COMMUNIST),492,0,492,0.25,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04133.htm,10
133,Samastipur,DINESH KUMAR RAI,Rashtriya Jansambhavna Party,432,0,432,0.22,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04133.htm,11
133,Samastipur,PREMJEET KUMAR,Aadarsh Mithila Party,431,0,431,0.22,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04133.htm,12
133,Samastipur,IRSHAD AHMAD,Apna Kisan Party,342,0,342,0.17,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04133.htm,13
134,Ujiarpur,ALOK KUMAR MEHTA,Rashtriya Janata Dal,102292,415,102707,44.66,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04134.htm,1
134,Ujiarpur,PRASHANT KUMAR PANKAJ,Rashtriya Lok Morcha,86262,162,86424,37.58,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04134.htm,2
134,Ujiarpur,DURGA PRASAD SINGH,Jan Suraaj Party,9445,57,9502,4.13,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04134.htm,3
134,Ujiarpur,UPENDRA KUMAR,Independent,6421,31,6452,2.81,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04134.htm,4
134,Ujiarpur,RANVEER KUMAR CHOURASIYA,Independent,3458,5,3463,1.51,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04134.htm,5
134,Ujiarpur,MAHA SHANKER CHOUDHARY,Independent,3175,2,3177,1.38,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04134.htm,6
134,Ujiarpur,VIRENDRA KUMAR RAY,Independent,3077,0,3077,1.34,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04134.htm,7
134,Ujiarpur,SUNITA KUMARI,Janshakti Vikas Party (Democratic),2656,5,2661,1.16,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04134.htm,8
134,Ujiarpur,ANKIT KUMAR MISHRA,Aam Aadmi Party,2620,4,2624,1.14,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04134.htm,9
134,Ujiarpur,BULBUL KUMAR SAHNI,Bahujan Samaj Party,2445,7,2452,1.07,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04134.htm,10
134,Ujiarpur,NOTA,None of the Above,2068,9,2077,0.9,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04134.htm,11
134,Ujiarpur,VIKAS KUMAR,Independent,1743,1,1744,0.76,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04134.htm,12
134,Ujiarpur,NIKKI JHA,Independent,993,2,995,0.43,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04134.htm,13
134,Ujiarpur,DINESH PRASAD CHOUDHARY,Independent,987,0,987,0.43,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04134.htm,14
134,Ujiarpur,ARUN KUMAR YADAV,Independent,893,0,893,0.39,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04134.htm,15
134,Ujiarpur,DILIP KUMAR SAHANI,Independent,760,0,760,0.33,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04134.htm,16
135,Morwa,RANVIJAY SAHU,Rashtriya Janata Dal,77551,219,77770,39.53,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04135.htm,1
135,Morwa,VIDYA SAGAR SINGH NISHAD,Janata Dal (United),68969,130,69099,35.13,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04135.htm,2
135,Morwa,ABHAY KUMAR SINGH,Independent,29960,86,30046,15.27,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04135.htm,3
135,Morwa,JAGRITI,Jan Suraaj Party,4094,37,4131,2.1,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04135.htm,4
135,Morwa,NOTA,None of the Above,3568,3,3571,1.82,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04135.htm,5
135,Morwa,RANJEET KUMAR,Apna Kisan Party,3259,0,3259,1.66,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04135.htm,6
135,Morwa,TUNTUN RAY,Aam Aadmi Party,3143,2,3145,1.6,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04135.htm,7
135,Morwa,CHANDRASHEKHAR RAI,Socialist Unity Centre Of India (COMMUNIST),2728,0,2728,1.39,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04135.htm,8
135,Morwa,BRIJENDU KUMAR SINGH,Hindustani Awam Manch (United),1683,1,1684,0.86,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04135.htm,9
135,Morwa,SANTHOSH RAI,Bahujan Samaj Party,1283,5,1288,0.65,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04135.htm,10
136,Sarairanjan,VIJAY KUMAR CHOUDHARY,Janata Dal (United),102465,327,102792,49.37,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04136.htm,1
136,Sarairanjan,ARBIND KUMAR SAHANI,Rashtriya Janata Dal,81729,265,81994,39.38,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04136.htm,2
136,Sarairanjan,KUNAL KUMAR,Independent,6170,12,6182,2.97,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04136.htm,3
136,Sarairanjan,SAJAN KUMAR MISHRA,Jan Suraaj Party,5455,38,5493,2.64,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04136.htm,4
136,Sarairanjan,NOTA,None of the Above,4424,4,4428,2.13,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04136.htm,5
136,Sarairanjan,RANJIT KUMAR PANDIT,Independent,4055,4,4059,1.95,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04136.htm,6
136,Sarairanjan,RAM SAGAR ROY,Apna Kisan Party,1483,1,1484,0.71,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04136.htm,7
136,Sarairanjan,AMRENDRA KUMAR SINGH,Independent,1126,3,1129,0.54,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04136.htm,8
136,Sarairanjan,ASHOK KUMAR ANJANA,Independent,625,3,628,0.3,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04136.htm,9
137,Mohiuddinnagar,RAJESH KUMAR SINGH,Bharatiya Janata Party,88994,214,89208,48.68,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04137.htm,1
137,Mohiuddinnagar,EJYA YADAV,Rashtriya Janata Dal,77279,247,77526,42.31,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04137.htm,2
137,Mohiuddinnagar,RAJKAPOOR SINGH,Jan Suraaj Party,4373,41,4414,2.41,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04137.htm,3
137,Mohiuddinnagar,VISHWANATH SAH,Independent,2229,1,2230,1.22,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04137.htm,4
137,Mohiuddinnagar,NOTA,None of the Above,2193,4,2197,1.2,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04137.htm,5
137,Mohiuddinnagar,SUNIL KUMAR RAY,Independent,2025,0,2025,1.11,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04137.htm,6
137,Mohiuddinnagar,AJAY KUMAR BULGANIN,Janshakti Janta Dal,1491,7,1498,0.82,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04137.htm,7
137,Mohiuddinnagar,AMRENDRA KUMAR YADAV,Bahujan Samaj Party,1238,6,1244,0.68,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04137.htm,8
137,Mohiuddinnagar,SURJEET SHYAMAL,Independent,747,3,750,0.41,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04137.htm,9
137,Mohiuddinnagar,ABHIRANJAN KUMAR,Independent,703,1,704,0.38,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04137.htm,10
137,Mohiuddinnagar,UMESH RAY,Aam Aadmi Party,520,6,526,0.29,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04137.htm,11
137,Mohiuddinnagar,BHUSHAN PRASAD RAY,Janta Dal Rashtravadi,514,3,517,0.28,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04137.htm,12
137,Mohiuddinnagar,RAM MOHAN RAY,Sathi Aur Aapka Faisala Party,400,1,401,0.22,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04137.htm,13
138,Bibhutipur,AJAY KUMAR,Communist Party of India (Marxist),78908,338,79246,40.37,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04138.htm,1
138,Bibhutipur,RAVINA KUSHWAHA,Janata Dal (United),68824,141,68965,35.13,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04138.htm,2
138,Bibhutipur,RUPANJALI KUMARI,Independent,14411,45,14456,7.36,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04138.htm,3
138,Bibhutipur,VISHWANATH CHOUDHARY,Jan Suraaj Party,13399,51,13450,6.85,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04138.htm,4
138,Bibhutipur,NOTA,None of the Above,4805,2,4807,2.45,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04138.htm,5
138,Bibhutipur,ARVIND KUMAR,Aam Aadmi Party,2569,5,2574,1.31,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04138.htm,6
138,Bibhutipur,RAM LAL TANTI,Independent,2313,0,2313,1.18,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04138.htm,7
138,Bibhutipur,SHASHI BHUSHAN DAS,Independent,1862,4,1866,0.95,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04138.htm,8
138,Bibhutipur,SUSHANT KUMAR,Independent,1781,1,1782,0.91,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04138.htm,9
138,Bibhutipur,NEEL KAMAL,Janshakti Janta Dal,1515,3,1518,0.77,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04138.htm,10
138,Bibhutipur,AWADHESH KUMAR,Bahujan Samaj Party,1456,6,1462,0.74,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04138.htm,11
138,Bibhutipur,AMARJEET KUMAR,Independent,1302,6,1308,0.67,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04138.htm,12
138,Bibhutipur,KANHAIYA KUMAR,Independent,956,1,957,0.49,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04138.htm,13
138,Bibhutipur,PRAHLAD,Independent,901,0,901,0.46,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04138.htm,14
138,Bibhutipur,NAVIN KUMAR,Independent,713,0,713,0.36,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04138.htm,15
139,Rosera,BIRENDRA KUMAR,Bharatiya Janata Party,122523,250,122773,55.02,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04139.htm,1
139,Rosera,BRAJ KISHORE RAVI,Indian National Congress,71938,302,72240,32.37,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04139.htm,2
139,Rosera,ROHIT KUMAR,Jan Suraaj Party,14857,56,14913,6.68,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04139.htm,3
139,Rosera,RAJESH KUMAR PASWAN,Independent,3883,2,3885,1.74,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04139.htm,4
139,Rosera,DEVENDRA KUMAR PASWAN,Bhartiya Mahasangh Party,3573,1,3574,1.6,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04139.htm,5
139,Rosera,NOTA,None of the Above,3014,2,3016,1.35,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04139.htm,6
139,Rosera,AMIT KUMAR BAITHA,Bahujan Samaj Party,2743,5,2748,1.23,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04139.htm,7
140,Hasanpur,RAJ KUMAR RAY,Janata Dal (United),90810,151,90961,44.43,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04140.htm,1
140,Hasanpur,MALA PUSHPAM,Rashtriya Janata Dal,82839,208,83047,40.57,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04140.htm,2
140,Hasanpur,INDU DEVI,Jan Suraaj Party,9527,26,9553,4.67,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04140.htm,3
140,Hasanpur,MANOJ MUKHIYA,Independent,4671,2,4673,2.28,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04140.htm,4
140,Hasanpur,NOTA,None of the Above,4012,1,4013,1.96,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04140.htm,5
140,Hasanpur,FULO SAHNI,Independent,3294,0,3294,1.61,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04140.htm,6
140,Hasanpur,MANMOHAN KUMAR,Aam Aadmi Party,2127,0,2127,1.04,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04140.htm,7
140,Hasanpur,BIBHA DEVI,Bahujan Samaj Party,1716,7,1723,0.84,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04140.htm,8
140,Hasanpur,CHANDRA MOHAN KUMAR,Jagrook Janta Party,1467,0,1467,0.72,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS04140.htm,9
